iter	Passed	Remaining
0	145	145207
1	145	72817
2	146	48742
3	147	36662
4	147	29438
5	148	24599
6	149	21144
7	149	18561
8	150	16536
9	150	14916
10	151	13654
11	152	12547
12	153	11647
13	154	10851
14	154	10161
15	155	9548
16	155	9011
17	156	8527
18	156	8096
19	157	7708
20	157	7356
21	158	7038
22	158	6749
23	159	6485
24	160	6243
25	160	6017
26	161	5806
27	161	5611
28	162	5429
29	162	5260
30	163	5101
31	163	4951
32	164	4810
33	164	4684
34	165	4567
35	166	4454
36	166	4345
37	167	4240
38	167	4139
39	168	4045
40	169	3955
41	169	3868
42	170	3785
43	170	3708
44	171	3637
45	172	3568
46	172	3502
47	173	3435
48	173	3371
49	174	3309
50	174	3250
51	175	3193
52	175	3139
53	176	3087
54	176	3039
55	177	2992
56	178	2947
57	178	2905
58	179	2863
59	180	2820
60	180	2780
61	181	2741
62	181	2705
63	182	2672
64	183	2640
65	184	2611
66	185	2579
67	185	2548
68	186	2516
69	187	2489
70	188	2460
71	188	2435
72	189	2412
73	190	2386
74	191	2362
75	192	2337
76	192	2313
77	193	2289
78	194	2268
79	195	2249
80	196	2228
81	197	2209
82	197	2186
83	198	2166
84	199	2146
85	200	2128
86	201	2111
87	202	2093
88	202	2076
89	203	2059
90	204	2041
91	205	2024
92	206	2010
93	207	1997
94	207	1981
95	209	1969
96	209	1953
97	210	1936
98	210	1919
99	211	1903
100	212	1888
101	212	1874
102	213	1860
103	214	1847
104	214	1832
105	215	1817
106	216	1803
107	216	1789
108	217	1775
109	217	1762
110	219	1754
111	219	1743
112	220	1731
113	221	1719
114	221	1706
115	222	1694
116	222	1681
117	223	1669
118	223	1657
119	224	1647
120	225	1638
121	226	1628
122	226	1617
123	227	1607
124	228	1596
125	228	1585
126	229	1574
127	229	1563
128	230	1554
129	230	1544
130	231	1536
131	232	1528
132	233	1520
133	233	1510
134	234	1501
135	234	1492
136	235	1483
137	236	1474
138	236	1466
139	237	1458
140	237	1449
141	238	1440
142	238	1432
143	239	1424
144	240	1416
145	240	1408
146	241	1399
147	241	1391
148	242	1384
149	242	1376
150	243	1369
151	244	1363
152	244	1355
153	245	1348
154	246	1342
155	246	1335
156	247	1328
157	247	1321
158	248	1314
159	249	1308
160	249	1301
161	250	1295
162	251	1289
163	251	1283
164	252	1276
165	252	1270
166	253	1263
167	254	1257
168	254	1251
169	255	1245
170	255	1240
171	256	1235
172	257	1229
173	257	1223
174	258	1217
175	258	1211
176	259	1207
177	260	1201
178	260	1195
179	261	1191
180	262	1186
181	262	1181
182	263	1176
183	264	1170
184	264	1166
185	265	1160
186	265	1155
187	266	1150
188	267	1146
189	267	1141
190	268	1137
191	269	1132
192	269	1127
193	270	1123
194	270	1118
195	271	1113
196	272	1109
197	272	1104
198	273	1100
199	274	1096
200	275	1093
201	275	1089
202	276	1085
203	277	1082
204	278	1078
205	278	1074
206	279	1070
207	280	1067
208	280	1063
209	281	1059
210	282	1056
211	283	1053
212	283	1049
213	284	1045
214	285	1041
215	286	1039
216	287	1036
217	288	1033
218	289	1030
219	289	1027
220	290	1024
221	291	1020
222	292	1017
223	293	1015
224	293	1012
225	294	1008
226	295	1005
227	295	1001
228	296	997
229	297	994
230	297	991
231	298	988
232	299	985
233	300	982
234	300	979
235	301	975
236	302	972
237	302	968
238	303	965
239	303	961
240	304	958
241	305	955
242	305	952
243	306	949
244	307	946
245	307	942
246	308	939
247	308	936
248	309	932
249	310	930
250	310	927
251	311	924
252	312	921
253	312	918
254	313	915
255	314	912
256	314	909
257	315	906
258	316	904
259	316	902
260	317	899
261	318	896
262	318	893
263	319	890
264	320	888
265	320	885
266	321	881
267	321	879
268	322	876
269	323	873
270	323	871
271	324	868
272	324	865
273	325	862
274	326	859
275	326	856
276	327	853
277	327	851
278	328	848
279	329	846
280	329	843
281	330	841
282	330	838
283	331	835
284	332	832
285	332	830
286	333	827
287	333	825
288	334	822
289	335	820
290	335	818
291	336	816
292	337	813
293	337	811
294	338	808
295	338	806
296	339	803
297	340	801
298	340	798
299	341	796
300	342	794
301	342	791
302	343	789
303	343	786
304	344	784
305	344	782
306	345	779
307	345	777
308	346	775
309	347	773
310	348	771
311	348	769
312	349	767
313	350	764
314	350	762
315	351	760
316	351	758
317	352	755
318	352	753
319	353	751
320	354	749
321	354	747
322	355	745
323	356	742
324	356	740
325	357	738
326	357	735
327	358	733
328	358	731
329	359	729
330	359	727
331	360	725
332	361	723
333	361	721
334	362	719
335	362	716
336	363	714
337	363	712
338	364	710
339	365	708
340	365	706
341	366	704
342	366	702
343	367	700
344	368	698
345	368	696
346	369	694
347	369	693
348	370	691
349	371	689
350	371	687
351	372	685
352	373	683
353	373	681
354	374	679
355	374	677
356	375	675
357	375	673
358	376	671
359	376	669
360	377	667
361	377	666
362	378	664
363	379	662
364	379	660
365	380	658
366	381	657
367	381	655
368	382	653
369	383	652
370	383	650
371	384	649
372	385	648
373	386	646
374	386	644
375	387	643
376	388	641
377	388	639
378	389	637
379	389	635
380	390	634
381	391	632
382	391	631
383	392	629
384	393	627
385	393	626
386	394	624
387	394	622
388	395	620
389	395	618
390	396	617
391	396	615
392	397	614
393	398	612
394	399	611
395	399	609
396	400	607
397	400	606
398	401	604
399	402	603
400	402	601
401	403	599
402	403	598
403	404	596
404	405	595
405	405	593
406	406	591
407	406	590
408	407	588
409	407	586
410	408	585
411	409	583
412	409	582
413	410	581
414	411	579
415	411	577
416	412	576
417	412	574
418	413	573
419	413	571
420	414	570
421	415	568
422	415	567
423	416	565
424	416	564
425	417	562
426	418	561
427	418	559
428	419	557
429	419	556
430	420	554
431	420	553
432	421	552
433	422	550
434	422	549
435	423	547
436	424	546
437	424	544
438	425	543
439	425	541
440	426	540
441	426	538
442	427	537
443	427	535
444	428	534
445	429	533
446	429	531
447	430	530
448	430	528
449	431	527
450	431	525
451	432	524
452	432	522
453	433	521
454	434	520
455	434	518
456	435	517
457	436	516
458	436	514
459	437	513
460	437	511
461	438	510
462	438	508
463	439	507
464	439	505
465	440	504
466	441	503
467	441	502
468	442	500
469	443	499
470	443	498
471	444	496
472	444	495
473	445	494
474	445	492
475	446	491
476	447	490
477	447	489
478	448	487
479	448	486
480	449	484
481	450	483
482	450	482
483	451	481
484	451	479
485	452	478
486	453	477
487	453	476
488	454	474
489	455	473
490	455	472
491	456	470
492	456	469
493	457	468
494	457	467
495	458	465
496	458	464
497	459	463
498	460	462
499	460	460
500	461	459
501	461	458
502	462	456
503	462	455
504	463	454
505	463	452
506	464	451
507	465	450
508	465	449
509	466	447
510	466	446
511	467	445
512	468	444
513	468	443
514	469	441
515	469	440
516	470	439
517	470	438
518	471	437
519	472	435
520	472	434
521	473	433
522	474	432
523	474	431
524	475	429
525	475	428
526	476	427
527	477	426
528	477	425
529	478	424
530	479	423
531	479	422
532	480	420
533	480	419
534	481	418
535	482	417
536	482	416
537	483	414
538	483	413
539	484	412
540	485	411
541	485	410
542	486	409
543	486	408
544	487	407
545	488	405
546	488	404
547	489	404
548	490	403
549	491	402
550	492	401
551	493	400
552	494	399
553	494	398
554	495	397
555	495	396
556	496	395
557	497	393
558	497	392
559	498	391
560	499	390
561	499	389
562	500	388
563	501	387
564	501	386
565	502	385
566	502	383
567	503	382
568	504	381
569	504	380
570	505	379
571	506	378
572	506	377
573	507	376
574	507	375
575	508	374
576	509	373
577	509	372
578	510	371
579	511	370
580	511	369
581	512	368
582	513	367
583	513	365
584	514	364
585	515	363
586	515	362
587	516	361
588	516	360
589	517	359
590	518	358
591	518	357
592	519	356
593	520	355
594	520	354
595	521	353
596	522	352
597	522	351
598	523	350
599	524	349
600	525	348
601	525	347
602	526	346
603	527	345
604	527	344
605	528	343
606	529	342
607	529	341
608	530	340
609	530	339
610	531	338
611	532	337
612	532	336
613	533	335
614	534	334
615	535	333
616	535	332
617	536	331
618	536	330
619	537	329
620	538	328
621	538	327
622	539	326
623	540	325
624	540	324
625	541	323
626	541	322
627	542	321
628	543	320
629	543	319
630	544	318
631	544	317
632	545	316
633	545	315
634	546	314
635	547	313
636	547	312
637	548	311
638	548	309
639	549	308
640	549	307
641	550	307
642	551	306
643	551	305
644	552	304
645	553	303
646	553	302
647	554	301
648	554	300
649	555	299
650	555	298
651	556	296
652	557	295
653	557	294
654	558	294
655	558	293
656	559	292
657	560	291
658	560	290
659	561	289
660	561	288
661	562	287
662	562	286
663	563	285
664	563	284
665	564	283
666	565	282
667	566	281
668	566	280
669	567	279
670	568	278
671	568	277
672	569	276
673	569	275
674	570	274
675	571	273
676	571	272
677	572	271
678	573	270
679	573	270
680	574	269
681	574	268
682	575	267
683	576	266
684	576	265
685	577	264
686	578	263
687	578	262
688	579	261
689	580	260
690	580	259
691	581	258
692	581	257
693	582	256
694	583	255
695	584	255
696	584	254
697	585	253
698	586	252
699	587	251
700	587	250
701	588	249
702	589	248
703	590	248
704	590	247
705	591	246
706	592	245
707	592	244
708	593	243
709	594	242
710	594	241
711	595	240
712	596	239
713	596	239
714	597	238
715	597	237
716	598	236
717	598	235
718	599	234
719	600	233
720	600	232
721	601	231
722	602	230
723	603	229
724	603	228
725	604	228
726	605	227
727	605	226
728	606	225
729	607	224
730	607	223
731	608	222
732	609	221
733	609	221
734	610	220
735	611	219
736	611	218
737	612	217
738	613	216
739	614	215
740	615	214
741	615	214
742	616	213
743	616	212
744	617	211
745	618	210
746	618	209
747	619	208
748	619	207
749	620	206
750	621	205
751	621	205
752	622	204
753	623	203
754	623	202
755	624	201
756	625	200
757	625	199
758	626	199
759	627	198
760	628	197
761	629	196
762	629	195
763	630	194
764	631	193
765	631	192
766	632	192
767	633	191
768	634	190
769	635	189
770	636	189
771	637	188
772	638	187
773	638	186
774	639	185
775	640	184
776	640	183
777	641	182
778	641	182
779	642	181
780	642	180
781	643	179
782	644	178
783	644	177
784	645	176
785	645	175
786	646	174
787	647	174
788	647	173
789	648	172
790	648	171
791	649	170
792	649	169
793	650	168
794	651	167
795	651	167
796	652	166
797	653	165
798	653	164
799	654	163
800	655	162
801	655	161
802	656	161
803	657	160
804	657	159
805	658	158
806	659	157
807	659	156
808	660	155
809	661	155
810	661	154
811	662	153
812	663	152
813	664	151
814	664	150
815	665	150
816	665	149
817	666	148
818	667	147
819	667	146
820	668	145
821	668	144
822	669	143
823	670	143
824	670	142
825	671	141
826	671	140
827	672	139
828	673	138
829	673	137
830	674	137
831	674	136
832	675	135
833	676	134
834	676	133
835	677	132
836	677	132
837	678	131
838	679	130
839	679	129
840	680	128
841	680	127
842	681	126
843	682	126
844	682	125
845	683	124
846	683	123
847	684	122
848	685	121
849	685	120
850	686	120
851	686	119
852	687	118
853	688	117
854	689	116
855	690	116
856	691	115
857	691	114
858	692	113
859	692	112
860	694	112
861	694	111
862	695	110
863	696	109
864	696	108
865	697	107
866	698	107
867	698	106
868	699	105
869	700	104
870	700	103
871	701	102
872	702	102
873	703	101
874	703	100
875	704	99
876	704	98
877	705	98
878	706	97
879	706	96
880	707	95
881	708	94
882	708	93
883	709	93
884	710	92
885	710	91
886	711	90
887	711	89
888	712	88
889	713	88
890	714	87
891	714	86
892	715	85
893	715	84
894	716	84
895	717	83
896	717	82
897	718	81
898	719	80
899	720	80
900	720	79
901	721	78
902	721	77
903	722	76
904	722	75
905	723	75
906	724	74
907	724	73
908	725	72
909	726	71
910	727	71
911	727	70
912	728	69
913	728	68
914	729	67
915	729	66
916	730	66
917	731	65
918	731	64
919	732	63
920	733	62
921	733	62
922	734	61
923	735	60
924	735	59
925	736	58
926	736	58
927	737	57
928	738	56
929	738	55
930	739	54
931	739	53
932	740	53
933	741	52
934	741	51
935	742	50
936	742	49
937	743	49
938	744	48
939	745	47
940	745	46
941	746	45
942	747	45
943	747	44
944	748	43
945	749	42
946	749	41
947	750	41
948	751	40
949	751	39
950	752	38
951	752	37
952	753	37
953	753	36
954	754	35
955	754	34
956	755	33
957	756	33
958	756	32
959	757	31
960	758	30
961	758	29
962	759	29
963	760	28
964	760	27
965	761	26
966	761	25
967	762	25
968	763	24
969	763	23
970	764	22
971	765	22
972	765	21
973	766	20
974	766	19
975	767	18
976	768	18
977	768	17
978	769	16
979	769	15
980	770	14
981	771	14
982	771	13
983	772	12
984	773	11
985	773	10
986	774	10
987	774	9
988	775	8
989	776	7
990	776	7
991	777	6
992	778	5
993	778	4
994	779	3
995	779	3
996	780	2
997	780	1
998	781	0
999	782	0
